2026-02-22 15:52:07,860 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:07,860 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:07,864 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:07,864 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:07,869 | INFO | detector | [main] inference device: cpu
2026-02-22 15:52:11,934 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:11,934 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:11,962 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:11,962 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:11,965 | INFO | detector | [main] inference device: cpu
2026-02-22 15:52:15,887 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:15,887 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:15,890 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:15,890 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:15,894 | INFO | detector | [main] inference device: cpu
2026-02-22 15:52:20,108 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:20,108 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:20,111 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:20,111 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:20,114 | INFO | detector | [main] inference device: cpu
2026-02-22 15:52:24,416 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:24,416 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:24,439 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:24,439 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:24,442 | INFO | detector | [main] inference device: cpu
2026-02-22 15:52:29,728 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:29,729 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:52:29,731 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:52:29,732 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:52:29,734 | INFO | detector | [main] inference device: cpu
2026-02-22 15:53:06,615 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:53:06,615 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:53:06,618 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:53:06,618 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:53:06,620 | INFO | detector | [main] inference device: cpu
2026-02-22 15:53:06,861 | INFO | detector | [main] started camera worker: cam-entrance-01 (Entrance - Front Door) threshold=0.65
2026-02-22 15:53:06,862 | INFO | detector | [main] detector running
2026-02-22 15:53:06,864 | INFO | detector | [segmenter] starting ffmpeg segments -> /shared/segments/cam-entrance-01/%s.ts
2026-02-22 15:53:36,983 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:54:07,034 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 15:54:39,087 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:55:09,137 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 15:55:41,182 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:56:11,231 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 15:56:43,281 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:57:13,331 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 15:57:45,383 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:58:15,433 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 15:58:59,464 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:58:59,464 | INFO | detector | [main] started clip worker: clip-worker-0
2026-02-22 15:58:59,467 | INFO | detector | [clip-worker] started (segment-based exact clips)
2026-02-22 15:58:59,467 | INFO | detector | [main] started clip worker: clip-worker-1
2026-02-22 15:58:59,469 | INFO | detector | [main] inference device: cpu
2026-02-22 15:58:59,615 | INFO | detector | [main] started camera worker: cam-entrance-01 (Entrance - Front Door) threshold=0.65
2026-02-22 15:58:59,617 | INFO | detector | [main] detector running
2026-02-22 15:58:59,620 | INFO | detector | [segmenter] starting ffmpeg segments -> /shared/segments/cam-entrance-01/%s.ts
2026-02-22 15:59:29,704 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 15:59:59,752 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:00:31,793 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:01:01,849 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:01:33,886 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:02:03,938 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:02:35,972 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:03:06,020 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:03:38,073 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:04:08,121 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:04:40,149 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
